Period,cds
10/08/2026,6.91
07/08/2026,6.898
06/08/2026,6.906
05/08/2026,6.897
04/08/2026,7.063
03/08/2026,7.127
31/07/2026,7.137
30/07/2026,7.094
29/07/2026,7.286
28/07/2026,7.117
27/07/2026,7.292
24/07/2026,7.257
23/07/2026,7.279
22/07/2026,7.154
21/07/2026,7.152
20/07/2026,7.137
17/07/2026,7.247
16/07/2026,7.383
15/07/2026,7.369
14/07/2026,7.37
13/07/2026,7.001
10/07/2026,7.075
09/07/2026,7.201
08/07/2026,7.26
07/07/2026,7.221
06/07/2026,7.078
03/07/2026,7.098
02/07/2026,7.085
01/07/2026,7.082
30/06/2026,7.129
29/06/2026,7.11
26/06/2026,7.139
25/06/2026,7.87
24/06/2026,8.086
23/06/2026,8.052
22/06/2026,8.076
19/06/2026,8.102
18/06/2026,8.07
17/06/2026,8.002
16/06/2026,8.014
15/06/2026,7.318
12/06/2026,7.754
11/06/2026,8.357
10/06/2026,8.359
09/06/2026,8.361
08/06/2026,8.351
05/06/2026,8.316
04/06/2026,8.364
03/06/2026,8.368
02/06/2026,7.924
01/06/2026,7.858
29/05/2026,7.839
28/05/2026,7.792
27/05/2026,7.953
26/05/2026,7.899
25/05/2026,7.828
22/05/2026,7.857
21/05/2026,7.948
20/05/2026,7.853
19/05/2026,7.788
18/05/2026,7.889
15/05/2026,7.795
14/05/2026,7.995
13/05/2026,8.131
12/05/2026,8.441
11/05/2026,8.136
08/05/2026,8.423
07/05/2026,8.234
06/05/2026,8.611
05/05/2026,8.871
04/05/2026,8.668
01/05/2026,9.073
30/04/2026,9.016
29/04/2026,9.009
28/04/2026,8.945
27/04/2026,9.005
24/04/2026,8.992
23/04/2026,9.049
22/04/2026,8.755
21/04/2026,9.044
20/04/2026,9.05
17/04/2026,9.008
16/04/2026,9.077
15/04/2026,9.131
14/04/2026,9.083
13/04/2026,9.307
10/04/2026,9.231
09/04/2026,9.38
08/04/2026,9.193
07/04/2026,9.549
06/04/2026,9.661
03/04/2026,9.625
02/04/2026,9.642
01/04/2026,9.527
31/03/2026,9.809
30/03/2026,9.539
27/03/2026,9.689
26/03/2026,9.62
25/03/2026,9.557
24/03/2026,9.588
23/03/2026,9.71
20/03/2026,9.472
19/03/2026,8.306
18/03/2026,8.03
17/03/2026,8.062
16/03/2026,8.082
13/03/2026,8.209
12/03/2026,7.973
11/03/2026,7.845
10/03/2026,7.769
09/03/2026,8.112
06/03/2026,7.743
05/03/2026,7.734
04/03/2026,7.819
03/03/2026,7.742
02/03/2026,7.698
27/02/2026,7.699
26/02/2026,7.7
25/02/2026,7.254
24/02/2026,7.445
23/02/2026,7.516
20/02/2026,7.33
19/02/2026,7.513
18/02/2026,7.453
17/02/2026,7.54
16/02/2026,7.462
13/02/2026,7.319
12/02/2026,7.278
11/02/2026,7.294
10/02/2026,7.345
09/02/2026,7.279
06/02/2026,7.392
05/02/2026,7.299
04/02/2026,7.487
03/02/2026,7.378
02/02/2026,7.564
30/01/2026,7.59
29/01/2026,7.547
28/01/2026,7.546
27/01/2026,7.552
26/01/2026,7.529
23/01/2026,7.523
22/01/2026,7.371
21/01/2026,7.441
20/01/2026,7.591
19/01/2026,7.509
16/01/2026,7.312
15/01/2026,7.099
