Period,cds
10/08/2026,15.755
07/08/2026,15.761
06/08/2026,15.787
05/08/2026,15.778
04/08/2026,16.169
03/08/2026,16.065
31/07/2026,16.26
30/07/2026,16.496
29/07/2026,16.467
28/07/2026,16.505
27/07/2026,16.489
24/07/2026,16.536
23/07/2026,16.499
22/07/2026,16.264
21/07/2026,16.342
20/07/2026,16.333
17/07/2026,16.427
16/07/2026,16.056
15/07/2026,16.032
14/07/2026,15.907
13/07/2026,16.161
10/07/2026,16.079
09/07/2026,15.971
08/07/2026,15.957
07/07/2026,15.746
06/07/2026,15.609
03/07/2026,15.665
02/07/2026,15.644
01/07/2026,15.645
30/06/2026,15.418
29/06/2026,15.49
26/06/2026,15.437
25/06/2026,15.545
24/06/2026,15.516
23/06/2026,15.348
22/06/2026,15.415
19/06/2026,15.375
18/06/2026,15.53
17/06/2026,15.53
16/06/2026,15.432
15/06/2026,15.295
12/06/2026,15.821
11/06/2026,15.98
10/06/2026,15.294
09/06/2026,16.015
08/06/2026,16.425
05/06/2026,15.98
04/06/2026,16.003
03/06/2026,15.988
02/06/2026,16.018
01/06/2026,15.905
29/05/2026,16.041
28/05/2026,16.22
27/05/2026,16.093
26/05/2026,16.238
25/05/2026,16.252
22/05/2026,16.265
21/05/2026,16.287
20/05/2026,16.433
19/05/2026,16.822
18/05/2026,16.728
15/05/2026,16.709
14/05/2026,16.402
13/05/2026,16.365
12/05/2026,16.462
11/05/2026,15.958
08/05/2026,16.242
07/05/2026,16.239
06/05/2026,16.712
05/05/2026,17.344
04/05/2026,17.829
01/05/2026,16.883
30/04/2026,17.199
29/04/2026,17.478
28/04/2026,16.776
27/04/2026,16.858
24/04/2026,16.855
23/04/2026,16.675
22/04/2026,16.212
21/04/2026,16.608
20/04/2026,16.891
17/04/2026,16.914
16/04/2026,17.558
15/04/2026,17.598
14/04/2026,17.497
13/04/2026,17.735
10/04/2026,18.539
09/04/2026,19.113
08/04/2026,18.688
07/04/2026,20.461
06/04/2026,21.024
03/04/2026,20.932
02/04/2026,20.827
01/04/2026,20.303
31/03/2026,21.09
30/03/2026,21.582
27/03/2026,21.555
26/03/2026,21.38
25/03/2026,20.792
24/03/2026,21.629
23/03/2026,21.393
20/03/2026,20.558
19/03/2026,18.311
18/03/2026,17.85
17/03/2026,17.929
16/03/2026,18.335
13/03/2026,18.158
12/03/2026,17.718
11/03/2026,17.024
10/03/2026,16.929
09/03/2026,17.784
06/03/2026,17.205
05/03/2026,17.095
04/03/2026,17.038
03/03/2026,16.891
02/03/2026,16.543
27/02/2026,15.736
26/02/2026,15.635
25/02/2026,15.881
24/02/2026,15.716
23/02/2026,15.929
20/02/2026,16.23
19/02/2026,16.264
18/02/2026,16.373
17/02/2026,16.796
16/02/2026,16.673
13/02/2026,16.657
12/02/2026,16.496
11/02/2026,16.715
10/02/2026,16.787
09/02/2026,16.567
06/02/2026,16.761
05/02/2026,16.893
04/02/2026,16.601
03/02/2026,17.196
02/02/2026,16.664
30/01/2026,16.95
29/01/2026,16.979
28/01/2026,17.009
27/01/2026,17.2
26/01/2026,17.401
23/01/2026,17.112
22/01/2026,16.869
21/01/2026,18.508
20/01/2026,18.213
19/01/2026,18.212
16/01/2026,18.204
15/01/2026,17.751
14/01/2026,18.257
13/01/2026,18.338
12/01/2026,18.432
09/01/2026,18.137
08/01/2026,18.432
07/01/2026,18.805
06/01/2026,18.86
05/01/2026,18.974
02/01/2026,19.365
01/01/2026,19.357
31/12/2025,19.268
30/12/2025,19.35
29/12/2025,19.316
26/12/2025,18.904
25/12/2025,18.948
24/12/2025,18.802
23/12/2025,19.123
22/12/2025,18.825
19/12/2025,18.978
18/12/2025,18.629
17/12/2025,19.05
16/12/2025,19.024
15/12/2025,19.299
12/12/2025,19.373
11/12/2025,19.465
10/12/2025,19.352
09/12/2025,19.477
08/12/2025,19.345
05/12/2025,19.384
04/12/2025,19.611
03/12/2025,19.632
02/12/2025,19.68
01/12/2025,19.935
28/11/2025,20.174
27/11/2025,20.188
26/11/2025,19.99
25/11/2025,20.691
24/11/2025,20.606
21/11/2025,20.93
20/11/2025,20.586
19/11/2025,21.197
18/11/2025,21.389
17/11/2025,21.026
14/11/2025,21.202
13/11/2025,21.163
12/11/2025,21.267
11/11/2025,21.784
10/11/2025,22.24
07/11/2025,22.501
06/11/2025,22.57
05/11/2025,22.737
04/11/2025,23.245
03/11/2025,22.992
31/10/2025,22.991
30/10/2025,23.128
29/10/2025,23.461
28/10/2025,23.78
27/10/2025,23.542
24/10/2025,23.711
23/10/2025,23.701
22/10/2025,24.001
21/10/2025,24.128
20/10/2025,24.086
17/10/2025,24.341
16/10/2025,24.273
15/10/2025,24.448
14/10/2025,25.165
13/10/2025,24.974
10/10/2025,24.947
09/10/2025,24.946
08/10/2025,25.255
07/10/2025,25.608
06/10/2025,25.534
03/10/2025,25.419
02/10/2025,25.684
01/10/2025,25.752
30/09/2025,25.665
29/09/2025,25.615
26/09/2025,25.737
25/09/2025,25.761
24/09/2025,25.632
23/09/2025,25.473
22/09/2025,26.023
19/09/2025,23.754
18/09/2025,23.731
17/09/2025,23.423
16/09/2025,24.235
15/09/2025,23.816
12/09/2025,24.78
11/09/2025,25.167
10/09/2025,25.451
09/09/2025,26.052
08/09/2025,26.156
05/09/2025,26.298
04/09/2025,26.761
03/09/2025,27.495
02/09/2025,27.457
01/09/2025,27.032
29/08/2025,27.242
28/08/2025,27.142
27/08/2025,27.254
26/08/2025,27.009
25/08/2025,26.235
22/08/2025,26.028
21/08/2025,25.982
20/08/2025,25.794
19/08/2025,25.834
18/08/2025,25.616
15/08/2025,25.627
14/08/2025,25.767
13/08/2025,26.152
12/08/2025,26.613
11/08/2025,27.006
08/08/2025,27.121
07/08/2025,27.356
06/08/2025,27.974
05/08/2025,28.043
04/08/2025,28.019
01/08/2025,28.026
31/07/2025,27.688
30/07/2025,27.245
29/07/2025,27.26
28/07/2025,27.157
25/07/2025,27.361
24/07/2025,27.262
