Data Source in SDW: https://sdw.ecb.de/quickview.do?org.apache.struts.taglib.html.TOKEN=1a35b53ab43b4fe981667ed95c8df53a&SERIES_KEY=42.FM.B.DE.USD.DS.SC.BDGVTS5.HST&start=01-01-2021&end=&snapshot=&submitOptions.x=0&submitOptions.y=0&trans=N
,FM.B.DE.USD.DS.SC.BDGVTS5.HST
,"GERMANY SEN 5YR Credit Default Swap, provided by DataStream"
Collection:,End of period (E)
Period\Unit:,[Points ]
,,obs. status,obs. confidentiality
2026-08-10,6.9100000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-08-07,6.8980000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-08-06,6.9060000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-08-05,6.8970000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-08-04,7.0630000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-08-03,7.1270000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-31,7.1370000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-30,7.0940000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-29,7.2860000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-28,7.1170000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-27,7.2920000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-24,7.2570000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-23,7.2790000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-22,7.1540000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-21,7.1520000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-20,7.1370000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-17,7.2470000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-16,7.3830000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-15,7.3690000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-14,7.3700000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-13,7.0010000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-10,7.0750000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-09,7.2010000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-08,7.2600000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-07,7.2210000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-06,7.0780000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-03,7.0980000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-02,7.0850000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-01,7.0820000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-30,7.1290000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-29,7.1100000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-26,7.1390000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-25,7.8700000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-24,8.0860000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-23,8.0520000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-22,8.0760000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-19,8.1020000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-18,8.0700000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-17,8.0020000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-16,8.0140000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-15,7.3180000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-12,7.7540000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-11,8.3570000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-10,8.3590000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-09,8.3610000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-08,8.3510000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-05,8.3160000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-04,8.3640000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-03,8.3680000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-02,7.9240000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-06-01,7.8580000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-29,7.8390000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-28,7.7920000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-27,7.9530000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-26,7.8990000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-25,7.8280000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-22,7.8570000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-21,7.9480000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-20,7.8530000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-19,7.7880000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-18,7.8890000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-15,7.7950000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-14,7.9950000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-13,8.1310000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-12,8.4410000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-11,8.1360000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-08,8.4230000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-07,8.2340000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-06,8.6110000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-05,8.8710000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-04,8.6680000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-05-01,9.0730000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-30,9.0160000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-29,9.0090000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-28,8.9450000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-27,9.0050000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-24,8.9920000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-23,9.0490000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-22,8.7550000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-21,9.0440000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-20,9.0500000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-17,9.0080000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-16,9.0770000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-15,9.1310000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-14,9.0830000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-13,9.3070000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-10,9.2310000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-09,9.3800000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-08,9.1930000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-07,9.5490000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-06,9.6610000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-03,9.6250000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-02,9.6420000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-04-01,9.5270000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-31,9.8090000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-30,9.5390000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-27,9.6890000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-26,9.6200000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-25,9.5570000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-24,9.5880000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-23,9.7100000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-20,9.4720000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-19,8.3060000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-18,8.0300000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-17,8.0620000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-16,8.0820000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-13,8.2090000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-12,7.9730000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-11,7.8450000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-10,7.7690000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-09,8.1120000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-06,7.7430000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-05,7.7340000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-04,7.8190000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-03,7.7420000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-03-02,7.6980000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-27,7.6990000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-26,7.7000000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-25,7.2540000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-24,7.4450000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-23,7.5160000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-20,7.3300000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-19,7.5130000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-18,7.4530000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-17,7.5400000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-16,7.4620000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-13,7.3190000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-12,7.2780000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-11,7.2940000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-10,7.3450000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-09,7.2790000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-06,7.3920000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-05,7.2990000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-04,7.4870000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-03,7.3780000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-02-02,7.5640000,Normal value (A),Not for publication, restricted for internal use only (N)
