Data Source in SDW: https://sdw.ecb.de/quickview.do?org.apache.struts.taglib.html.TOKEN=e396ea9b7f6446795d77fcb5910e432c&SERIES_KEY=42.FM.B.IT.USD.DS.SC.ITGVTS5.HST&start=01-01-2021&end=&snapshot=&submitOptions.x=0&submitOptions.y=0&trans=N
,FM.B.IT.USD.DS.SC.ITGVTS5.HST
,"ITALY SEN 5YR Credit Default Swap, provided by DataStream"
Collection:,End of period (E)
Period\Unit:,[Points ]
,,obs. status,obs. confidentiality,obs. comment
2026-08-10,29.6220000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-08-07,29.5970000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-08-06,29.6470000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-08-05,29.6280000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-08-04,30.1990000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-08-03,30.1420000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-31,30.4840000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-30,30.4970000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-29,30.2370000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-28,30.1780000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-27,30.3950000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-24,30.8180000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-23,30.5990000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-22,30.3450000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-21,30.2930000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-20,30.6550000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-17,30.7460000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-16,30.3240000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-15,30.0760000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-14,30.0620000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-13,29.5870000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-10,29.6040000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-09,29.6180000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-08,29.6240000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-07,28.9620000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-06,28.6890000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-03,28.7210000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-02,28.7050000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-07-01,28.7190000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-30,28.4670000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-29,28.3050000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-26,28.3380000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-25,28.1790000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-24,28.3940000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-23,28.1910000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-22,28.0420000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-19,28.1080000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-18,28.1800000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-17,28.1730000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-16,28.1430000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-15,28.0660000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-12,28.7010000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-11,29.3440000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-10,29.5620000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-09,29.5330000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-08,29.4650000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-05,29.5620000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-04,29.1800000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-06-03,29.2320000,Normal value (A),Not for publication, restricted for internal use only (N),
