Data Source in SDW: https://sdw.ecb.de/quickview.do?org.apache.struts.taglib.html.TOKEN=682c7f502e7266e963f768c6bcf933a1&SERIES_KEY=42.FM.B.ES.USD.DS.SC.ESGVTS5.HST&start=01-01-2021&end=&snapshot=&submitOptions.x=0&submitOptions.y=0&trans=N
,FM.B.ES.USD.DS.SC.ESGVTS5.HST
,"SPAIN SEN 5YR Credit Default Swap, provided by DataStream"
Collection:,End of period (E)
Period\Unit:,[Points ]
,,obs. status,obs. confidentiality
2026-08-10,15.7550000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-08-07,15.7610000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-08-06,15.7870000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-08-05,15.7780000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-08-04,16.1690000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-08-03,16.0650000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-31,16.2600000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-30,16.4960000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-29,16.4670000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-28,16.5050000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-27,16.4890000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-24,16.5360000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-23,16.4990000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-22,16.2640000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-21,16.3420000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-20,16.3330000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-17,16.4270000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-16,16.0560000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-15,16.0320000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-14,15.9070000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-13,16.1610000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-10,16.0790000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-09,15.9710000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-08,15.9570000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-07,15.7460000,Normal value (A),Not for publication, restricted for internal use only (N)
2026-07-06,15.6090000,Normal value (A),Not for publication, restricted for internal use only (N)
